game,player,dealer,play_sum,deal_sum,decision,Win_or_Loss,bet,new_bet,Bankroll,Deck_rest
0,,,,,,,,,10000.0,
1,"['Q', '4']",5,14.0,5.0,DOUBLE,---,20.0,---,100000.0,308.0
1,"['Q', '4', 'A']","['5', 'K', '4']",15.0,19.0,---,Loss,40.0,0,99960.0,306.0
2,"['7', '10']",K,17.0,10.0,STAND,---,20.0,---,99960.0,308.0
2,"['7', '10']","['K', 'A']",17.0,21.0,---,Loss,0.0,0,99940.0,308.0
3,"['2', 'Q']",5,12.0,5.0,STAND,---,20.0,---,99940.0,308.0
3,"['2', 'Q']","['5', 'J', '4']",12.0,19.0,---,Loss,0.0,0,99920.0,307.0
4,"['J', '9']",10,19.0,10.0,DOUBLE,---,20.0,---,99920.0,308.0
4,"['J', '9', 'K']","['10', '7']",29.0,17.0,---,Loss,20.0,0,99880.0,307.0
5,"['9', 'J']",J,19.0,10.0,DOUBLE,---,20.0,---,99880.0,308.0
5,"['9', 'J', '5']","['J', '6', '3']",24.0,19.0,---,Loss,20.0,0,99840.0,306.0
6,"['7', '6']",10,13.0,10.0,HIT,---,20.0,---,99840.0,308.0
6,"['7', '6', '7']",10,20.0,10.0,HIT,---,20.0,---,99840.0,307.0
6,"['7', '6', '7', '9']","['10', 'Q']",29.0,20.0,---,Loss,20.0,0,99820.0,306.0
7,"['9', '4']",6,13.0,6.0,STAND,---,20.0,---,99820.0,308.0
7,"['9', '4']","['6', 'K', '9']",13.0,25.0,---,Win,20.0,40,99840.0,307.0
8,"['8', '7']",Q,15.0,10.0,STAND,---,20.0,---,99840.0,308.0
8,"['8', '7']","['Q', '4', '3']",15.0,17.0,---,Loss,0.0,0,99820.0,307.0
9,"['K', '6']",8,16.0,8.0,HIT,---,20.0,---,99820.0,308.0
9,"['K', '6', '9']","['8', '7', '8']",25.0,23.0,---,Loss,20.0,0,99800.0,306.0
10,"['10', '6']",Q,16.0,10.0,STAND,---,20.0,---,99800.0,308.0
10,"['10', '6']","['Q', '3', 'K']",16.0,23.0,---,Win,20.0,40,99820.0,307.0
11,"['6', '4']",6,10.0,6.0,DOUBLE,---,20.0,---,99820.0,308.0
11,"['6', '4', 'K']","['6', '8', '8']",20.0,22.0,---,Win,40.0,80,99860.0,306.0
12,"['J', '4']",4,14.0,4.0,HIT,---,20.0,---,99860.0,308.0
12,"['J', '4', '9']","['4', '7', 'J']",23.0,21.0,---,Loss,20.0,0,99840.0,306.0
13,"['5', 'K']",A,15.0,11.0,DOUBLE,---,20.0,---,99840.0,308.0
13,"['5', 'K', '3']","['A', '3', '7']",18.0,21.0,---,Loss,40.0,0,99800.0,306.0
14,"['A', '6']",K,17.0,10.0,STAND,---,20.0,---,99800.0,308.0
14,"['A', '6']","['K', '6', '5']",17.0,21.0,---,Loss,0.0,0,99780.0,307.0
15,"['8', 'J']",9,18.0,9.0,DOUBLE,---,20.0,---,99780.0,308.0
15,"['8', 'J', '6']","['9', '3', '7']",24.0,19.0,---,Loss,20.0,0,99740.0,306.0
